OrderUuid,Exchange,Type,Quantity,Limit,CommissionPaid,Price,Opened,Closed
9baf11e8-6014-4654-9f1d-aadcc8f1c2b2,BTC-NBT,LIMIT_SELL,2483.84221814,0.00049934,0.0031007,1.24028177,5/27/2017 6:29:23 AM,5/27/2017 6:33:27 AM
5cdf41ef-4e1d-4861-ada3-807aa56813ba,BTC-NBT,LIMIT_SELL,48.13304116,0.00055724,0.00006705,0.02682165,5/14/2017 12:15:22 AM,5/14/2017 12:20:26 AM
ea4e4f39-329f-44bc-a728-82c25e38077f,BTC-NBT,LIMIT_BUY,326.64682214,0.00054971,0.0004489,0.17956102,5/14/2017 12:45:51 AM,5/14/2017 12:50:56 AM
fb37de69-43c4-4cd8-b57f-c6827b0d4133,BTC-NBT,LIMIT_BUY,330,0.00054907,0.00045298,0.1811931,5/14/2017 1:06:14 AM,5/14/2017 1:11:15 AM
b4aa77f8-154c-446e-b92f-5f46707a4d0b,BTC-NBT,LIMIT_BUY,2.27894001,0.00055574,0.00000316,0.0012641,5/14/2017 3:15:19 AM,5/14/2017 3:25:28 AM
27a42b5f-01de-46ef-9b9a-c6dd53a04147,BTC-NBT,LIMIT_BUY,70.61655037,0.00054977,0.00009705,0.03882286,5/14/2017 4:11:15 AM,5/14/2017 4:16:18 AM
9a24367d-cf13-4aac-9138-c1c6aca99e63,BTC-NBT,LIMIT_SELL,206.44928299,0.00055588,0.0002869,0.11476102,5/14/2017 6:01:03 AM,5/14/2017 6:20:21 AM
f33f04b7-a23e-4bcb-b57f-00532fb03058,BTC-NBT,LIMIT_SELL,89.59987893,0.0005536,0.000124,0.04960249,5/14/2017 6:30:29 AM,5/14/2017 7:06:06 AM
8e5d0afb-a318-42f5-ba01-d50a7e449e42,BTC-NBT,LIMIT_SELL,1.92113688,0.00055111,0.00000264,0.00105917,5/14/2017 7:55:53 AM,5/14/2017 8:06:04 AM
af3fea33-0944-42ae-a2b0-4a3645ce0fc4,BTC-NBT,LIMIT_SELL,54.33105176,0.00054994,0.00007481,0.02992499,5/14/2017 8:06:05 AM,5/14/2017 8:20:17 AM
9546fafa-ec5d-4f16-a648-731192a860a4,BTC-NBT,LIMIT_SELL,181.11994771,0.00055074,0.00024937,0.09975,5/14/2017 11:00:57 AM,5/14/2017 11:06:02 AM
6b1a62ef-1e42-491d-997c-96603dacfc57,BTC-NBT,LIMIT_SELL,385.97883266,0.00055723,0.00053769,0.21507898,5/14/2017 12:25:20 PM,5/14/2017 12:40:35 PM
8e9ff01c-5216-431a-b34a-ce633c4c370e,BTC-NBT,LIMIT_SELL,10,0.00055603,0.0000139,0.0055603,5/14/2017 1:26:19 PM,5/14/2017 1:40:33 PM
1cff3334-5472-42b2-9148-718d2b07e052,BTC-NBT,LIMIT_SELL,883.74474151,0.00048638,0.00107458,0.42983576,5/27/2017 7:29:23 AM,5/27/2017 7:33:26 AM
ba750ac5-0666-46a6-9380-a57c94aea126,BTC-NBT,LIMIT_SELL,2.70054001,0.00055485,0.00000374,0.00149839,5/14/2017 1:40:34 PM,5/14/2017 1:50:43 PM
e8b14ad7-0ae9-4c19-a354-b99b548a45c8,BTC-NBT,LIMIT_BUY,1258.37289132,0.00055022,0.00173095,0.69238193,5/14/2017 3:00:53 PM,5/14/2017 3:05:58 PM
5ea85a1f-7493-4dc4-9155-016d32c32f43,BTC-NBT,LIMIT_SELL,693.36983856,0.00055563,0.00096314,0.38525708,5/14/2017 3:26:18 PM,5/14/2017 3:45:36 PM
0952015e-e073-4b0c-9460-d3c468e6e7ff,BTC-NBT,LIMIT_BUY,140.72077273,0.00055424,0.00019498,0.07799308,5/14/2017 4:35:28 PM,5/14/2017 4:50:40 PM
cd765b7b-f267-4c55-a5e4-ee0a73796071,BTC-NBT,LIMIT_SELL,8.59979747,0.00055885,0.00001203,0.0048158,5/14/2017 5:50:41 PM,5/14/2017 6:00:47 PM
4a728651-ff96-4d57-aba0-934b4cf9e53f,BTC-NBT,LIMIT_SELL,1.46145514,0.00056175,0.00000205,0.00082097,5/14/2017 6:40:28 PM,5/14/2017 7:16:03 PM
2ece73b4-3237-4bee-b5c0-e461acb9e623,BTC-NBT,LIMIT_SELL,688.73782348,0.0005617,0.00096716,0.38686403,5/14/2017 7:31:19 PM,5/14/2017 7:40:27 PM
814197ae-fb97-4364-96a0-22692729e20c,BTC-NBT,LIMIT_BUY,530.85545159,0.00050498,0.00067017,0.26807079,5/27/2017 9:14:06 AM,5/27/2017 9:19:10 AM
