"#","Market","Type","Rate","Amount","Total","Timestamp"
"7041576","USNBT/BTC","Buy","0.00078099","0.38386893","0.000300","27/04/2017 10:52:00 PM"
"7041575","USNBT/BTC","Buy","0.00078099","0.21416570","0.000167","27/04/2017 10:52:00 PM"
"7041574","USNBT/BTC","Buy","0.00078099","0.07354267","0.000057","27/04/2017 10:52:00 PM"
"7039789","USNBT/BTC","Sell","0.00075274","0.05103802","0.000038","27/04/2017 10:10:00 PM"
"7038809","USNBT/BTC","Buy","0.00075824","0.02959109","0.000022","27/04/2017 9:42:00 PM"
"7038181","USNBT/BTC","Sell","0.00075573","0.11935885","0.000090","27/04/2017 9:23:00 PM"
"7031342","USNBT/BTC","Sell","0.00075716","0.08738373","0.000066","27/04/2017 6:42:00 PM"
"7026645","USNBT/BTC","Sell","0.00075477","0.03679647","0.000028","27/04/2017 4:45:00 PM"
"7026048","USNBT/BTC","Sell","0.00075725","0.03311141","0.000025","27/04/2017 4:30:00 PM"
"7023917","USNBT/BTC","Sell","0.00075998","0.09308294","0.000071","27/04/2017 3:35:00 PM"
"7008432","USNBT/BTC","Sell","0.00076809","0.22962770","0.000176","27/04/2017 8:47:00 AM"
"7007043","USNBT/BTC","Sell","0.00076962","0.08703221","0.000067","27/04/2017 8:08:00 AM"
"7002695","USNBT/BTC","Sell","0.00077382","0.16405646","0.000127","27/04/2017 6:01:00 AM"
"6992944","USNBT/BTC","Buy","0.00077386","1350.00000000","1.044711","27/04/2017 12:52:00 AM"
"6990558","USNBT/BTC","Sell","0.00077598","0.09406699","0.000073","26/04/2017 11:40:00 PM"
"6986903","USNBT/BTC","Buy","0.00077851","0.10194348","0.000079","26/04/2017 9:54:00 PM"
"6986687","USNBT/BTC","Buy","0.00077847","0.03113364","0.000024","26/04/2017 9:48:00 PM"
"6983793","USNBT/BTC","Buy","0.00076969","0.09555034","0.000074","26/04/2017 8:17:00 PM"
"6982643","USNBT/BTC","Buy","0.00076924","0.02771950","0.000021","26/04/2017 7:44:00 PM"
"6979473","USNBT/BTC","Sell","0.00077118","0.08784211","0.000068","26/04/2017 6:11:00 PM"
"6978961","USNBT/BTC","Sell","0.00077118","0.25153445","0.000194","26/04/2017 5:55:00 PM"
"6978379","USNBT/BTC","Sell","0.00077118","0.10157461","0.000078","26/04/2017 5:36:00 PM"
"6978262","USNBT/BTC","Sell","0.00077118","0.03051893","0.000024","26/04/2017 5:33:00 PM"
"6978156","USNBT/BTC","Sell","0.00077211","0.10924274","0.000084","26/04/2017 5:29:00 PM"
"6978155","USNBT/BTC","Sell","0.00077211","0.03240880","0.000025","26/04/2017 5:29:00 PM"
"6975482","USNBT/BTC","Sell","0.00077596","0.13026510","0.000101","26/04/2017 4:11:00 PM"
"6975286","USNBT/BTC","Sell","0.00077596","0.04199533","0.000033","26/04/2017 4:06:00 PM"
"6975281","USNBT/BTC","Sell","0.00077730","0.12560961","0.000098","26/04/2017 4:06:00 PM"
"6975280","USNBT/BTC","Sell","0.00077731","0.12153718","0.000094","26/04/2017 4:06:00 PM"
"6969931","USNBT/BTC","Sell","0.00078283","0.04494737","0.000035","26/04/2017 1:36:00 PM"
"6969761","USNBT/BTC","Sell","0.00078283","0.07664499","0.000060","26/04/2017 1:32:00 PM"
"6969742","USNBT/BTC","Sell","0.00078283","0.03832250","0.000030","26/04/2017 1:32:00 PM"
"6969719","USNBT/BTC","Sell","0.00078283","0.03832250","0.000030","26/04/2017 1:31:00 PM"
"6969710","USNBT/BTC","Sell","0.00078283","0.03832250","0.000030","26/04/2017 1:31:00 PM"
"6952272","USNBT/BTC","Sell","0.00078478","0.36058277","0.000283","26/04/2017 2:59:00 AM"
"6949061","USNBT/BTC","Buy","0.00078365","1249.89318367","0.979479","26/04/2017 12:24:00 AM"
"6938623","USNBT/BTC","Sell","0.00078335","1.98312257","0.001553","25/04/2017 7:16:00 PM"
"6934728","USNBT/BTC","Sell","0.00078768","0.03312437","0.000026","25/04/2017 5:30:00 PM"
"6934595","USNBT/BTC","Sell","0.00078841","0.02725516","0.000021","25/04/2017 5:26:00 PM"
"6928574","USNBT/BTC","Buy","0.00078838","0.03182344","0.000025","25/04/2017 2:45:00 PM"
"6927861","USNBT/BTC","Buy","0.00078814","0.02621982","0.000021","25/04/2017 2:27:00 PM"
"6924416","USNBT/BTC","Sell","0.00078933","0.12304559","0.000097","25/04/2017 1:04:00 PM"
"6924253","USNBT/BTC","Sell","0.00078933","0.12131569","0.000096","25/04/2017 12:58:00 PM"
"6924100","USNBT/BTC","Sell","0.00078933","0.02939602","0.000023","25/04/2017 12:53:00 PM"
"6923973","USNBT/BTC","Sell","0.00079016","0.11566063","0.000091","25/04/2017 12:48:00 PM"
"6923972","USNBT/BTC","Sell","0.00079016","0.02835338","0.000022","25/04/2017 12:48:00 PM"
"6923971","USNBT/BTC","Sell","0.00079017","0.01206279","0.000010","25/04/2017 12:48:00 PM"
"6909007","USNBT/BTC","Buy","0.00079589","1000.00000000","0.795890","25/04/2017 4:28:00 AM"
"6899903","USNBT/BTC","Buy","0.00079426","699.97206756","0.555960","24/04/2017 11:28:00 PM"
"6894209","USNBT/BTC","Sell","0.00079911","0.09807493","0.000078","24/04/2017 8:49:00 PM"
"6885796","USNBT/BTC","Sell","0.00080418","0.01327160","0.000011","24/04/2017 5:03:00 PM"
"6884762","USNBT/BTC","Sell","0.00080387","0.18381209","0.000148","24/04/2017 4:38:00 PM"
"6884757","USNBT/BTC","Sell","0.00080417","0.01289385","0.000010","24/04/2017 4:38:00 PM"
"6884756","USNBT/BTC","Sell","0.00080417","0.14769776","0.000119","24/04/2017 4:38:00 PM"
"6884755","USNBT/BTC","Sell","0.00080418","0.05156509","0.000041","24/04/2017 4:38:00 PM"
"6873759","USNBT/BTC","Sell","0.00080628","0.99221114","0.000800","24/04/2017 11:54:00 AM"
"6865632","USNBT/BTC","Sell","0.00080581","0.88595898","0.000714","24/04/2017 8:02:00 AM"
"6865631","USNBT/BTC","Sell","0.00080581","0.73962238","0.000596","24/04/2017 8:02:00 AM"
"6853750","USNBT/BTC","Buy","0.00080564","0.92860670","0.000748","24/04/2017 3:10:00 AM"
"6853640","USNBT/BTC","Buy","0.00080406","0.92694539","0.000745","24/04/2017 3:07:00 AM"
"6849697","USNBT/BTC","Buy","0.00080326","5.00000000","0.004016","24/04/2017 1:25:00 AM"
"6848297","USNBT/BTC","Buy","0.00080326","0.06990138","0.000056","24/04/2017 12:52:00 AM"
"6844571","USNBT/BTC","Sell","0.00080269","0.11442656","0.000092","23/04/2017 11:14:00 PM"
"6844570","USNBT/BTC","Sell","0.00080321","0.07378587","0.000059","23/04/2017 11:14:00 PM"
"6843902","USNBT/BTC","Sell","0.00080320","0.06626227","0.000053","23/04/2017 10:51:00 PM"
"6812160","USNBT/BTC","Sell","0.00080761","0.04829464","0.000039","23/04/2017 8:22:00 AM"
"6812096","USNBT/BTC","Sell","0.00080822","0.04392496","0.000036","23/04/2017 8:20:00 AM"
"6809183","USNBT/BTC","Sell","0.00081308","0.04309784","0.000035","23/04/2017 6:59:00 AM"
"6809075","USNBT/BTC","Sell","0.00081308","0.09162678","0.000074","23/04/2017 6:55:00 AM"
"6809064","USNBT/BTC","Sell","0.00081308","0.09162678","0.000074","23/04/2017 6:55:00 AM"
"6803716","USNBT/BTC","Sell","0.00081107","0.98980005","0.000803","23/04/2017 3:10:00 AM"
"6803153","USNBT/BTC","Sell","0.00081107","0.00803962","0.000007","23/04/2017 2:57:00 AM"
"6802667","USNBT/BTC","Sell","0.00080956","0.20824992","0.000169","23/04/2017 2:33:00 AM"
"6802551","USNBT/BTC","Sell","0.00080956","0.08707772","0.000070","23/04/2017 2:28:00 AM"
"6801268","USNBT/BTC","Sell","0.00080748","0.08706954","0.000070","23/04/2017 1:50:00 AM"
"6798287","USNBT/BTC","Sell","0.00080580","0.14730192","0.000119","22/04/2017 10:49:00 PM"
"6798176","USNBT/BTC","Sell","0.00080666","0.15125727","0.000122","22/04/2017 10:43:00 PM"
"6796090","USNBT/BTC","Sell","0.00080851","0.12339735","0.000100","22/04/2017 8:35:00 PM"
"6795857","USNBT/BTC","Sell","0.00080966","0.12581561","0.000102","22/04/2017 8:26:00 PM"
"6794750","USNBT/BTC","Buy","0.00080958","0.02006806","0.000016","22/04/2017 7:20:00 PM"
"6786230","USNBT/BTC","Buy","0.00081738","0.09903790","0.000081","22/04/2017 4:03:00 PM"
"6784496","USNBT/BTC","Sell","0.00082064","1.20892671","0.000992","22/04/2017 3:26:00 PM"
"6766814","USNBT/BTC","Sell","0.00076062","0.23904496","0.000182","22/04/2017 8:44:00 AM"
"6751141","USNBT/BTC","Sell","0.00080538","0.10302793","0.000083","22/04/2017 1:49:00 AM"
"6751140","USNBT/BTC","Sell","0.00080539","0.23977286","0.000193","22/04/2017 1:49:00 AM"
"6751139","USNBT/BTC","Sell","0.00080539","0.31865262","0.000257","22/04/2017 1:49:00 AM"
"6742031","USNBT/BTC","Sell","0.00080718","1.00000000","0.000807","21/04/2017 10:10:00 PM"
"6742024","USNBT/BTC","Buy","0.00080396","1.00000000","0.000804","21/04/2017 10:09:00 PM"
"6740561","USNBT/BTC","Sell","0.00075974","0.01451477","0.000011","21/04/2017 9:35:00 PM"
"6740421","USNBT/BTC","Sell","0.00075974","0.08832838","0.000067","21/04/2017 9:33:00 PM"
"6740237","USNBT/BTC","Sell","0.00075974","0.19698104","0.000150","21/04/2017 9:28:00 PM"
"6739474","USNBT/BTC","Buy","0.00082138","600.00000000","0.492828","21/04/2017 9:10:00 PM"
"6734118","USNBT/BTC","Sell","0.00082284","0.10023363","0.000082","21/04/2017 7:04:00 PM"
"6733154","USNBT/BTC","Sell","0.00082284","0.10014401","0.000082","21/04/2017 6:45:00 PM"
"6720837","USNBT/BTC","Sell","0.00081838","0.18839904","0.000154","21/04/2017 2:33:00 PM"
"6701063","USNBT/BTC","Sell","0.00081486","1.21886160","0.000993","21/04/2017 6:22:00 AM"
"6701007","USNBT/BTC","Sell","0.00081486","4.87385646","0.003972","21/04/2017 6:21:00 AM"
"6700915","USNBT/BTC","Sell","0.00081486","0.64324845","0.000524","21/04/2017 6:19:00 AM"
"6700871","USNBT/BTC","Sell","0.00081486","3.45292518","0.002814","21/04/2017 6:18:00 AM"
"6693294","USNBT/BTC","Buy","0.00081158","400.00000000","0.324632","21/04/2017 2:11:00 AM"
"6683263","USNBT/BTC","Buy","0.00081106","0.16601346","0.000135","20/04/2017 7:31:00 PM"
"6680202","USNBT/BTC","Buy","0.00080958","0.17863459","0.000145","20/04/2017 5:50:00 PM"
"6679439","USNBT/BTC","Sell","0.00081587","0.03687352","0.000030","20/04/2017 5:25:00 PM"
"6678522","USNBT/BTC","Sell","0.00081912","0.15117479","0.000124","20/04/2017 4:53:00 PM"
"6678451","USNBT/BTC","Sell","0.00082034","0.15631261","0.000128","20/04/2017 4:51:00 PM"
"6676091","USNBT/BTC","Sell","0.00082486","0.12668444","0.000104","20/04/2017 2:35:00 PM"
"6676051","USNBT/BTC","Sell","0.00082486","0.08894860","0.000073","20/04/2017 2:32:00 PM"
"6676040","USNBT/BTC","Sell","0.00082740","0.12600827","0.000104","20/04/2017 2:31:00 PM"
"6651936","USNBT/BTC","Sell","0.00083045","0.24083328","0.000200","19/04/2017 10:00:00 PM"
"6651922","USNBT/BTC","Sell","0.00083045","0.24083328","0.000200","19/04/2017 9:59:00 PM"
"6626148","USNBT/BTC","Buy","0.00082710","0.05604511","0.000046","19/04/2017 8:35:00 AM"
"6625855","USNBT/BTC","Buy","0.00082607","0.05035312","0.000042","19/04/2017 8:26:00 AM"
"6613493","USNBT/BTC","Buy","0.00082423","0.58356882","0.000481","19/04/2017 1:52:00 AM"
"6613010","USNBT/BTC","Buy","0.00082423","0.07196102","0.000059","19/04/2017 1:29:00 AM"
"6613005","USNBT/BTC","Buy","0.00082423","0.07232123","0.000060","19/04/2017 1:29:00 AM"
"6612976","USNBT/BTC","Buy","0.00082423","0.03446021","0.000028","19/04/2017 1:29:00 AM"
"6606140","USNBT/BTC","Buy","0.00082464","0.91703353","0.000756","18/04/2017 7:48:00 PM"
"6605996","USNBT/BTC","Sell","0.00082794","0.36234510","0.000300","18/04/2017 7:40:00 PM"
"6605983","USNBT/BTC","Sell","0.00082794","0.36234510","0.000300","18/04/2017 7:39:00 PM"
"6600325","USNBT/BTC","Buy","0.00082586","0.16297035","0.000135","18/04/2017 4:02:00 PM"
"6600062","USNBT/BTC","Buy","0.00082457","0.04694266","0.000039","18/04/2017 3:56:00 PM"
"6600061","USNBT/BTC","Buy","0.00082457","0.17819316","0.000147","18/04/2017 3:56:00 PM"
"6595749","USNBT/BTC","Buy","0.00082595","0.05000000","0.000041","18/04/2017 1:13:00 PM"
"6595395","USNBT/BTC","Buy","0.00082595","0.60147601","0.000497","18/04/2017 1:03:00 PM"
"6594771","USNBT/BTC","Buy","0.00082721","0.07398867","0.000061","18/04/2017 12:45:00 PM"
"6594761","USNBT/BTC","Buy","0.00082721","0.07453532","0.000062","18/04/2017 12:45:00 PM"
"6590881","USNBT/BTC","Buy","0.00082721","0.02592593","0.000021","18/04/2017 10:20:00 AM"
"6589800","USNBT/BTC","Buy","0.00082721","0.07407407","0.000061","18/04/2017 9:44:00 AM"
"6569812","USNBT/BTC","Buy","0.00083910","0.08331909","0.000070","17/04/2017 11:33:00 PM"
"6558355","USNBT/BTC","Sell","0.00081159","0.11693836","0.000095","17/04/2017 5:48:00 PM"
"6557992","USNBT/BTC","Sell","0.00081402","0.03710323","0.000030","17/04/2017 5:38:00 PM"
"6557895","USNBT/BTC","Sell","0.00081415","0.11291566","0.000092","17/04/2017 5:35:00 PM"
"6557894","USNBT/BTC","Sell","0.00081415","0.03705021","0.000030","17/04/2017 5:35:00 PM"
"6557120","USNBT/BTC","Sell","0.00081627","0.10000000","0.000082","17/04/2017 5:15:00 PM"
"6555412","USNBT/BTC","Sell","0.00081613","0.31605121","0.000258","17/04/2017 4:26:00 PM"
"6555117","USNBT/BTC","Sell","0.00082148","0.20094243","0.000165","17/04/2017 4:19:00 PM"
"6555086","USNBT/BTC","Sell","0.00082267","0.12155542","0.000100","17/04/2017 4:18:00 PM"
"6555085","USNBT/BTC","Sell","0.00082269","0.10000000","0.000082","17/04/2017 4:18:00 PM"
"6555059","USNBT/BTC","Sell","0.00082460","0.19819276","0.000163","17/04/2017 4:17:00 PM"
"6555058","USNBT/BTC","Sell","0.00082461","0.14453026","0.000119","17/04/2017 4:17:00 PM"
"6552343","USNBT/BTC","Sell","0.00082893","0.70000000","0.000580","17/04/2017 2:53:00 PM"
"6551805","USNBT/BTC","Sell","0.00083030","0.10000000","0.000083","17/04/2017 2:35:00 PM"
"6551770","USNBT/BTC","Sell","0.00083030","0.10000000","0.000083","17/04/2017 2:34:00 PM"
"6548424","USNBT/BTC","Sell","0.00083196","0.25376754","0.000211","17/04/2017 12:51:00 PM"
"6541012","USNBT/BTC","Buy","0.00082682","0.12276285","0.000102","17/04/2017 7:20:00 AM"
"6541000","USNBT/BTC","Buy","0.00082682","0.09019179","0.000075","17/04/2017 7:19:00 AM"
"6540834","USNBT/BTC","Buy","0.00082532","0.17781002","0.000147","17/04/2017 7:09:00 AM"
"6540819","USNBT/BTC","Buy","0.00082461","0.18353972","0.000151","17/04/2017 7:08:00 AM"
"6540818","USNBT/BTC","Buy","0.00082460","0.13133628","0.000108","17/04/2017 7:08:00 AM"
"6540817","USNBT/BTC","Buy","0.00082460","0.09070307","0.000075","17/04/2017 7:08:00 AM"
"6529028","USNBT/BTC","Sell","0.00082642","0.14283257","0.000118","16/04/2017 8:04:00 PM"
"6528911","USNBT/BTC","Sell","0.00082642","0.25835267","0.000214","16/04/2017 8:00:00 PM"
"6528884","USNBT/BTC","Sell","0.00082642","0.33977717","0.000281","16/04/2017 7:59:00 PM"
"6528819","USNBT/BTC","Sell","0.00082868","0.13234345","0.000110","16/04/2017 7:56:00 PM"
"6528818","USNBT/BTC","Sell","0.00082868","0.22778636","0.000189","16/04/2017 7:56:00 PM"
"6528817","USNBT/BTC","Sell","0.00082868","0.30527036","0.000253","16/04/2017 7:56:00 PM"
"6503759","USNBT/BTC","Buy","0.00083443","2.16178306","0.001804","16/04/2017 6:07:00 AM"
"6498221","USNBT/BTC","Buy","0.00082958","0.06133018","0.000051","16/04/2017 2:44:00 AM"
"6487974","USNBT/BTC","Sell","0.00083223","1.00000000","0.000832","15/04/2017 9:20:00 PM"
"6485485","USNBT/BTC","Sell","0.00083085","0.11296326","0.000094","15/04/2017 7:52:00 PM"
"6485467","USNBT/BTC","Buy","0.00082341","249.58822188","0.205513","15/04/2017 7:51:00 PM"
"6457787","USNBT/BTC","Buy","0.00082454","0.09679328","0.000080","15/04/2017 1:36:00 AM"
"6452250","USNBT/BTC","Buy","0.00082587","0.13115979","0.000108","14/04/2017 10:59:00 PM"
"6440022","USNBT/BTC","Sell","0.00082607","0.16816096","0.000139","14/04/2017 4:51:00 PM"
"6439832","USNBT/BTC","Sell","0.00082694","0.14595671","0.000121","14/04/2017 4:46:00 PM"
"6439831","USNBT/BTC","Sell","0.00082695","0.07559074","0.000063","14/04/2017 4:46:00 PM"
"6436602","USNBT/BTC","Sell","0.00083037","0.13776378","0.000114","14/04/2017 3:08:00 PM"
"6436365","USNBT/BTC","Sell","0.00083688","0.13499152","0.000113","14/04/2017 3:01:00 PM"
"6426938","USNBT/BTC","Buy","0.00083602","0.02946865","0.000025","14/04/2017 10:04:00 AM"
"6426937","USNBT/BTC","Buy","0.00083553","0.09508269","0.000079","14/04/2017 10:04:00 AM"
"6422191","USNBT/BTC","Sell","0.00083361","0.03743004","0.000031","14/04/2017 7:44:00 AM"
"6421989","USNBT/BTC","Sell","0.00083534","0.12169452","0.000102","14/04/2017 7:38:00 AM"
"6421832","USNBT/BTC","Sell","0.00083559","0.12227880","0.000102","14/04/2017 7:33:00 AM"
"6421831","USNBT/BTC","Sell","0.00083560","0.03568428","0.000030","14/04/2017 7:33:00 AM"
"6414366","USNBT/BTC","Sell","0.00084179","0.10975964","0.000092","14/04/2017 3:03:00 AM"
"6413101","USNBT/BTC","Sell","0.00084177","0.03857935","0.000032","14/04/2017 2:22:00 AM"
"6405792","USNBT/BTC","Buy","0.00085001","0.03388444","0.000029","13/04/2017 8:57:00 PM"
"6398865","USNBT/BTC","Buy","0.00084399","0.07194207","0.000061","13/04/2017 6:25:00 PM"
"6392714","USNBT/BTC","Buy","0.00083491","6.91375578","0.005772","13/04/2017 3:09:00 PM"
"6378697","USNBT/BTC","Sell","0.00083430","0.02845744","0.000024","13/04/2017 9:12:00 AM"
"6377912","USNBT/BTC","Sell","0.00083361","0.08971276","0.000075","13/04/2017 9:01:00 AM"
"6377529","USNBT/BTC","Sell","0.00083361","6.94215794","0.005787","13/04/2017 8:56:00 AM"
"6377459","USNBT/BTC","Sell","0.00083490","0.03621534","0.000030","13/04/2017 8:54:00 AM"
"6377458","USNBT/BTC","Sell","0.00083490","6.94501445","0.005798","13/04/2017 8:54:00 AM"
"6348901","USNBT/BTC","Sell","0.00081274","0.10997266","0.000089","12/04/2017 8:23:00 PM"
"6335718","USNBT/BTC","Sell","0.00081355","0.21068163","0.000171","12/04/2017 3:11:00 PM"
"6333107","USNBT/BTC","Buy","0.00081941","0.20891210","0.000171","12/04/2017 2:04:00 PM"
"6333003","USNBT/BTC","Buy","0.00081396","0.21842389","0.000178","12/04/2017 2:02:00 PM"
"6326018","USNBT/BTC","Sell","0.00081402","0.21235560","0.000173","12/04/2017 10:52:00 AM"
"6325991","USNBT/BTC","Sell","0.00081414","0.21840825","0.000178","12/04/2017 10:51:00 AM"
"6302079","USNBT/BTC","Sell","0.00083951","0.26952627","0.000226","11/04/2017 11:50:00 PM"
"6302078","USNBT/BTC","Sell","0.00083981","8.62870769","0.007246","11/04/2017 11:50:00 PM"
"6302077","USNBT/BTC","Sell","0.00083981","1.15796793","0.000972","11/04/2017 11:50:00 PM"
"6159657","USNBT/BTC","Buy","0.00084236","230.00000000","0.193743","8/04/2017 11:28:00 PM"
"6157358","USNBT/BTC","Buy","0.00084385","99.95835819","0.084350","8/04/2017 9:55:00 PM"
"6145014","USNBT/BTC","Sell","0.00086140","5.74505769","0.004949","8/04/2017 2:50:00 PM"
"6144690","USNBT/BTC","Sell","0.00086141","0.02676224","0.000023","8/04/2017 2:36:00 PM"
"6041851","USNBT/BTC","Buy","0.00083077","0.86641708","0.000720","6/04/2017 12:42:00 PM"
"6008257","USNBT/BTC","Buy","0.00085923","1.69176625","0.001454","6/04/2017 12:50:00 AM"
"6003777","USNBT/BTC","Sell","0.00090965","0.96516569","0.000878","5/04/2017 10:10:00 PM"
"5976811","USNBT/BTC","Buy","0.00087109","2.82834547","0.002464","5/04/2017 10:42:00 AM"
"5971728","USNBT/BTC","Buy","0.00087053","1.99695696","0.001738","5/04/2017 9:17:00 AM"
"5935932","USNBT/BTC","Buy","0.00085538","0.41813645","0.000358","4/04/2017 7:26:00 PM"
"5880460","USNBT/BTC","Buy","0.00085500","0.12208629","0.000104","3/04/2017 6:08:00 PM"
"5843406","USNBT/BTC","Buy","0.00088015","0.11598256","0.000102","2/04/2017 10:50:00 PM"
"5841897","USNBT/BTC","Buy","0.00087429","0.11698142","0.000102","2/04/2017 10:04:00 PM"
"5839248","USNBT/BTC","Buy","0.00073729","0.25434081","0.000188","2/04/2017 8:55:00 PM"
"5838563","USNBT/BTC","Buy","0.00087610","0.11710458","0.000103","2/04/2017 8:38:00 PM"
"5838555","USNBT/BTC","Buy","0.00087610","0.11903100","0.000104","2/04/2017 8:37:00 PM"
"5838279","USNBT/BTC","Buy","0.00087610","0.11607769","0.000102","2/04/2017 8:30:00 PM"
"5838263","USNBT/BTC","Buy","0.00087610","0.11713168","0.000103","2/04/2017 8:30:00 PM"
"5836150","USNBT/BTC","Buy","0.00087729","0.11656580","0.000102","2/04/2017 7:35:00 PM"
"5836128","USNBT/BTC","Buy","0.00087729","0.06918715","0.000061","2/04/2017 7:34:00 PM"
"5832187","USNBT/BTC","Sell","0.00092874","0.02797128","0.000026","2/04/2017 5:59:00 PM"
"5830202","USNBT/BTC","Sell","0.00092791","0.02044601","0.000019","2/04/2017 5:08:00 PM"
"5817316","USNBT/BTC","Buy","0.00088972","0.34765356","0.000309","2/04/2017 11:37:00 AM"
"5817016","USNBT/BTC","Buy","0.00089290","0.71733947","0.000641","2/04/2017 11:25:00 AM"
"5781362","USNBT/BTC","Sell","0.00093500","0.11313140","0.000106","1/04/2017 2:08:00 PM"
"5770422","USNBT/BTC","Sell","0.00094047","0.17719867","0.000167","1/04/2017 8:50:00 AM"
"5770167","USNBT/BTC","Sell","0.00094255","0.12598867","0.000119","1/04/2017 8:41:00 AM"
"5769887","USNBT/BTC","Sell","0.00094480","0.22284881","0.000211","1/04/2017 8:33:00 AM"
"5769604","USNBT/BTC","Sell","0.00094654","0.22450397","0.000213","1/04/2017 8:27:00 AM"
"5769315","USNBT/BTC","Sell","0.00094804","0.32419998","0.000307","1/04/2017 8:19:00 AM"
"5741929","USNBT/BTC","Buy","0.00091827","0.38114952","0.000350","31/03/2017 3:53:00 PM"
"5741904","USNBT/BTC","Buy","0.00091827","0.08344245","0.000077","31/03/2017 3:53:00 PM"
"5739718","USNBT/BTC","Buy","0.00093012","0.25471829","0.000237","31/03/2017 2:46:00 PM"
"5739093","USNBT/BTC","Sell","0.00098174","0.19784917","0.000194","31/03/2017 2:25:00 PM"
"5737417","USNBT/BTC","Sell","0.00098296","13.22923201","0.013004","31/03/2017 1:44:00 PM"
"5732182","USNBT/BTC","Sell","0.00098015","2.76780160","0.002713","31/03/2017 9:57:00 AM"
"5732166","USNBT/BTC","Buy","0.00092861","3.27585000","0.003042","31/03/2017 9:55:00 AM"
"5732110","USNBT/BTC","Sell","0.00098015","3.27585000","0.003211","31/03/2017 9:49:00 AM"
"5722064","USNBT/BTC","Sell","0.00098117","0.00729290","0.000007","31/03/2017 2:02:00 AM"
"5722055","USNBT/BTC","Sell","0.00098117","0.00729289","0.000007","31/03/2017 2:02:00 AM"
"5718019","USNBT/BTC","Sell","0.00099294","0.18709340","0.000186","30/03/2017 11:32:00 PM"
"5693762","USNBT/BTC","Sell","0.00099873","0.53513217","0.000534","30/03/2017 11:01:00 AM"
"5688100","USNBT/BTC","Sell","0.00098053","0.42845986","0.000420","30/03/2017 9:06:00 AM"
"5674276","USNBT/BTC","Buy","0.00092807","2.43694741","0.002262","30/03/2017 2:05:00 AM"
"5664014","USNBT/BTC","Buy","0.00093837","0.43190011","0.000405","29/03/2017 8:54:00 PM"
"5663969","USNBT/BTC","Buy","0.00093837","0.11190011","0.000105","29/03/2017 8:53:00 PM"
"5663933","USNBT/BTC","Buy","0.00093837","0.11110000","0.000104","29/03/2017 8:52:00 PM"
"5663324","USNBT/BTC","Buy","0.00094047","0.44094834","0.000415","29/03/2017 8:32:00 PM"
"5660174","USNBT/BTC","Buy","0.00094010","0.10256453","0.000096","29/03/2017 7:19:00 PM"
"5658657","USNBT/BTC","Buy","0.00093486","0.11743547","0.000110","29/03/2017 6:43:00 PM"
"5658264","USNBT/BTC","Buy","0.00093369","0.71456473","0.000667","29/03/2017 6:35:00 PM"
"5648230","USNBT/BTC","Sell","0.00097290","0.62072614","0.000604","29/03/2017 1:53:00 PM"
"5647541","USNBT/BTC","Buy","0.00092491","1.00730396","0.000932","29/03/2017 1:31:00 PM"
"5644984","USNBT/BTC","Buy","0.00093119","0.84700607","0.000789","29/03/2017 12:23:00 PM"
"5642071","USNBT/BTC","Buy","0.00093855","0.05000000","0.000047","29/03/2017 10:50:00 AM"
"5635640","USNBT/BTC","Sell","0.00166787","0.05531350","0.000092","29/03/2017 7:20:00 AM"
"5632330","USNBT/BTC","Buy","0.00095038","0.33540270","0.000319","29/03/2017 5:35:00 AM"
"5631922","USNBT/BTC","Buy","0.00095205","20.00000000","0.019041","29/03/2017 5:24:00 AM"
"5630248","USNBT/BTC","Sell","0.00101182","10.00000000","0.010118","29/03/2017 4:26:00 AM"
"5630247","USNBT/BTC","Sell","0.00101182","10.00000000","0.010118","29/03/2017 4:26:00 AM"
"5629911","USNBT/BTC","Sell","0.00101182","9.96970799","0.010088","29/03/2017 4:15:00 AM"
"5629149","USNBT/BTC","Buy","0.00095673","0.04043900","0.000039","29/03/2017 3:55:00 AM"
"5629148","USNBT/BTC","Buy","0.00095672","0.00522619","0.000005","29/03/2017 3:55:00 AM"
"5629147","USNBT/BTC","Buy","0.00095671","0.00522625","0.000005","29/03/2017 3:55:00 AM"
"5629146","USNBT/BTC","Buy","0.00095670","0.00522630","0.000005","29/03/2017 3:55:00 AM"
"5629145","USNBT/BTC","Buy","0.00095669","0.00522636","0.000005","29/03/2017 3:55:00 AM"
"5629144","USNBT/BTC","Buy","0.00095668","0.00522641","0.000005","29/03/2017 3:55:00 AM"
"5629143","USNBT/BTC","Buy","0.00095667","0.00522647","0.000005","29/03/2017 3:55:00 AM"
"5629142","USNBT/BTC","Buy","0.00095666","0.00522652","0.000005","29/03/2017 3:55:00 AM"
"5629141","USNBT/BTC","Buy","0.00095665","0.00522658","0.000005","29/03/2017 3:55:00 AM"
"5629140","USNBT/BTC","Buy","0.00095664","0.00522663","0.000005","29/03/2017 3:55:00 AM"
"5629139","USNBT/BTC","Buy","0.00095663","3.60876149","0.003452","29/03/2017 3:55:00 AM"
"5624436","USNBT/BTC","Buy","0.00092995","0.02400486","0.000022","29/03/2017 12:58:00 AM"
"5619695","USNBT/BTC","Buy","0.00094927","312.72861395","0.296864","28/03/2017 9:55:00 PM"
"5619645","USNBT/BTC","Buy","0.00094577","247.73441132","0.234300","28/03/2017 9:53:00 PM"
